"Church Name","District Name",Mainkey,Churchcode,"Church Mail To",ReportStatus,Validate
"24/7 Life","The Alliance Midwest District",303547,1818429,mvwhite92@yahoo.com,Completed,Y
"4 State Hmong Alliance Church","Hmong District C&MA",320671,7329700,,Completed,Y
"Aberdeen Alliance Church","North Central District C&MA",305477,2746076,aac@nvc.net,Completed,Y
"Abundant Life Alliance Church","North Central District C&MA",304822,2727010,alac.oakgrove@gmail.com,Completed,Y
"Abundant Life Church","Korean District C&MA",770725,7853016,k1919danie@gmail.com,Completed,N
"Access Church","South Pacific Alliance",757122,3906053,info@gotoaccesschurch.com,Completed,Y
"ACF Church","Alliance Northwest District C&MA",306024,3002225,office@acfak.org,Completed,Y
"ACM  Oasis","Puerto Rico District C&MA",306853,3143850,acmvegabaja@hotmail.com,Completed,Y
"ACM Arecibo Pueblo","Puerto Rico District C&MA",306665,3143050,momarti777@gmail.com,Completed,Y
"ACM Barceloneta Pueblo","Puerto Rico District C&MA",306677,3143125,laalianzadebarceloneta@gmail.com,Completed,Y
"ACM Campo Alegre","Puerto Rico District C&MA",321476,3143396,drpedromartinez@gmail.com,Completed,Y
"ACM Casa de Restauracion Bethel","Puerto Rico District C&MA",306788,3143550,acmbethel55@gmail.com,Completed,Y
"ACM Central Mayaguez","Puerto Rico District C&MA",306800,3143637,kurios30@gmail.com,Completed,N
"ACM Chorreras","Puerto Rico District C&MA",306846,3143837,perez.efrain@outlook.com,Completed,Y
"ACM Coamo","Puerto Rico District C&MA",314663,3143365,edwin.berriosacm@yahoo.com,Completed,Y
"ACM Cruce Davila","Puerto Rico District C&MA",306687,3143200,joanir@hotmail.com,Completed,Y
"ACM de Barranquitas","Puerto Rico District C&MA",306691,3143212,acm.barranquitas@gmail.com,Completed,Y
"ACM Faro de la Alianza","Puerto Rico District C&MA",306754,3143397,pastor.jvelez@gmail.com,Completed,N
"ACM Faro de Luz","Puerto Rico District C&MA",306785,3143525,acmfarodeluz@hotmail.com,Completed,Y
"ACM Florida I","Puerto Rico District C&MA",306741,3143375,alianzanet@aol.com,Completed,Y
"ACM Guayaney","Puerto Rico District C&MA",306777,3143475,acguayaney@hotmail.com,Completed,Y
"ACM Iglesia Casa de Oracion","Spanish Eastern District C&MA",773096,8712009,fabixtoflo@gmail.com,Completed,Y
"ACM Irlanda Heights","Puerto Rico District C&MA",306694,3143225,irlandaiacm@hotmail.com,Completed,Y
"ACM Isabela","Puerto Rico District C&MA",786729,3143007,alianzadeisabela@gmail.com,Completed,Y
"ACM La Cumbre","Puerto Rico District C&MA",306819,3143713,lacumbre@acmlacumbre.org,Completed,Y
"ACM La Esperanza","Puerto Rico District C&MA",314754,3143880,alianzavieques@gmail.com,Completed,Y
"ACM Lares","Puerto Rico District C&MA",306761,3143418,pastorcarlosconcepcion@gmail.com,Completed,N
"ACM Luz de Esperanza","Spanish Eastern District C&MA",316584,8712100,yinette.vip@gmail.com,Completed,Y
"ACM Manati-Pueblo","Puerto Rico District C&MA",306774,3143450,alianzademanati@gmail.com,Completed,Y
"ACM Pugnado","Puerto Rico District C&MA",306861,3143875,acmpugnado@outlook.com,Completed,Y
"ACM Quebradillas","Puerto Rico District C&MA",306809,3143675,pastornelsonfelipe@gmail.com,Completed,N
"ACM Rio Grande","Puerto Rico District C&MA",306811,3143700,raulrodriguez594@gmail.com,Completed,Y
"ACM Sabana Hoyos","Puerto Rico District C&MA",306667,3143075,jairo_reyes06@yahoo.com,Completed,Y
"ACM San Isidro","Puerto Rico District C&MA",306719,3143300,acmsanisidro@gmail.com,Completed,Y
"ACM Sinai","Puerto Rico District C&MA",306792,3143620,iglesiasinaimay@hotmail.com,Completed,N
"ACM Tiburones","Puerto Rico District C&MA",306683,3143175,felixr.rivera@yahoo.com,Completed,Y
"ACM Utuado Pueblo","Puerto Rico District C&MA",306842,3143825,jreyesnegron@yahoo.com,Completed,N
"ACM Vega Baja III","Puerto Rico District C&MA",306859,3143860,acm.vbplaya@gmail.com,Completed,Y
"ACM Villa Carolina","Puerto Rico District C&MA",306721,3143314,acvoficinapastoral@yahoo.com,Completed,N
"ACM Vista Azul","Puerto Rico District C&MA",306673,3143100,acmvistaazul@yahoo.com,Completed,Y
"Acmetonia Rock of Ages Alliance Church","Western PA District C&MA",310779,5742010,info@rockofagesalliancechurch.org,Completed,Y
"ACyM Camuy II","Puerto Rico District C&MA",306713,3143286,sundayperez@yahoo.com,Completed,N
"ACyM Casa Abierta","Alliance Northwest District C&MA",306478,3053579,Donalac@aol.com,Completed,Y
"ACyM de Miami","Spanish Eastern District C&MA",313029,8712679,acmmiami@aol.com,Completed,Y
"ACyM de San Sebastian","Puerto Rico District C&MA",306835,3143807,hisoto22@gmail.com,Completed,Y
"ACyM Fajardo","Puerto Rico District C&MA",306739,3143371,alianzafajardo@gmail.com,Completed,N
"ACyM Morovis","Puerto Rico District C&MA",306803,3143642,perezjavier300@gmail.com,Completed,N
"ACyM Nueva Esperanza Anasco","Puerto Rico District C&MA",306663,3143040,edgarallende1@gmail.com,Completed,N
"Addis Kidan Christ's Church","Mid-Atlantic District C&MA",322710,1524750,addiskidanmd@gmail.com,Completed,Y
"Addis Kidan Evangelical Church of The C&MA","MidAmerica District C&MA",336923,5408175,denveraddiskidan@gmail.com,Completed,Y
"Adirondack Alliance Church","Northeastern District C&MA",314202,2436582,randyc@adkalliance.org,Completed,Y
"Adventure Church","Rocky Mountain District C&MA",307030,3330406,office@adventurechurchkalispell.org,Completed,Y
"Agape Chinese Alliance Church","South Pacific Alliance",308301,3906558,swu222@msn.com,Completed,Y
"Agape Hmong Alliance Church","Hmong District C&MA",312370,7327875,tracyhac@gmail.com,Completed,Y
"Agape Life Church","Central Pacific District C&MA",754805,0606013,mxiong71@gmail.com,Completed,Y
"Agape Worship Center of the C&MA","The Alliance Southeast",309001,4212728,jeanbruc@mynsu.nova.edu,Completed,Y
"Akron Alliance Fellowship","Central District C&MA",300192,0339010,akronalliance@gmail.com,Completed,Y
"Akron Hmong Alliance Church","Hmong District C&MA",312390,7339125,vamkaim@gmail.com,Completed,Y
"Al Encuentro Con Dios","Spanish Eastern District C&MA",313076,8734350,acymdeelizabeth@gmail.com,Completed,Y
"Alaska Early Church Ministry","Korean District C&MA",785751,7802303,davidkimccm@gmail.com,Completed,Y
"Albany Alliance Church","Northeastern District C&MA",304198,2436020,office@albanyalliance.church,Completed,Y
"Albemarle Hmong Alliance Church","Hmong District C&MA",722745,7337012,ahalliancechurch@gmail.com,Completed,Y
"Alianza Cristiana Y Misionera","Spanish Eastern District C&MA",313141,8736850,oficinadhe@gmail.com,Completed,Y
"Alianza de Magnolia","Puerto Rico District C&MA",306699,3143250,fgonzal@gmail.com,Completed,N
"Aliquippa Gospel Tabernacle","Western PA District C&MA",310791,5742020,crestmontcma@gmail.com,Completed,Y
"Alive Again Alliance Church of the C&MA","Metropolitan District C&MA",302275,1234405,wmeyer@aliveagainalliance.com,Completed,Y
"All Nations Alliance Church","Alliance South Central",321101,4848284,williambaradi@hotmail.com,Completed,Y
"All People 4 Christ Church","Alliance South Central",343179,4848020,williambaradi@hotmail.com,Completed,Y
"All Souls Community Church","Metropolitan District C&MA",789447,1236939,office@allsoulscommunity.com,Completed,Y
"Allegheny Center C&MA Church","Western PA District C&MA",311392,5742595,Karen.Allerton@acac.net,Completed,Y
"Allegiant Church","Central Pacific District C&MA",777429,0606048,servecft@gmail.com,Completed,Y
"Alliance Beatitudes Church","South Pacific Alliance",308365,3906771,chaogerald@gmail.com,Completed,Y
"Alliance Bible Church","The Alliance Midwest District",303302,1817594,mchenryalliance@yahoo.com,"Not Started",N
"Alliance Bible Church","Western Great Lakes District C&MA",310547,5555200,info@myabc.church,Completed,Y
"Alliance Bible Church","Central Pacific District C&MA",301161,0615401,info@abchonolulu.org,Completed,Y
"Alliance Bible Church","Rocky Mountain District C&MA",314341,3330350,,Completed,Y
"Alliance Bible Church","Alliance Northwest District C&MA",306017,3002200,,Completed,Y
"Alliance Bible Church","South Pacific Alliance",307965,3904350,Pastorpj1@commspeed.net,Completed,Y
"Alliance Bible Church","Alliance South Central",309701,4848799,mfailing@alliancewaco.org,Completed,Y
"Alliance Bible Church","The Alliance Midwest District",303145,1817025,info@abcbartlett.org,Completed,Y
"Alliance Bible Church","Hmong District C&MA",718050,7327013,vang9981@gmail.com,Completed,Y
"Alliance Bible Church","South Pacific Alliance",308137,3906190,StvnMrln@hotmail.com,Completed,Y
"Alliance Bible Church","The Alliance Midwest District",303578,1818726,abcrichmond2900@gmail.com,Completed,Y
